platform,record_a,record_b,match_type,breakdown
BBM,BBM:F000003,BBM:F000922,similar,06
mo,MO:75926,MO:93446,similar,06
mo,MO:75926,MO:151312,similar,06
mo,MO:93446,MO:151312,similar,06
mo,MO:72852,MO:379220,similar,06
mo,MO:72852,MO:444793,similar,06
mo,MO:379220,MO:444793,similar,06
BBM,BBM:F000945,BBM:F000966,similar,06
BBM,BBM:F000012,BBM:F000013,similar,06
BBM,BBM:F000012,BBM:F000014,similar,06
BBM,BBM:F000013,BBM:F000014,similar,06
mo,MO:204760,MO:226534,similar,06
mo,MO:204760,MO:285455,similar,06
mo,MO:226534,MO:285455,similar,06
BBM,BBM:F000017,BBM:F000018,similar,06
BBM,BBM:F000017,BBM:F000019,similar,06
BBM,BBM:F000017,BBM:F000462,similar,06
BBM,BBM:F000018,BBM:F000019,similar,06
BBM,BBM:F000018,BBM:F000462,similar,06
BBM,BBM:F000019,BBM:F000462,similar,06
mo,MO:66877,MO:130631,similar,06
mo,MO:66877,MO:271190,similar,06
mo,MO:130631,MO:271190,similar,06
BBM,BBM:F000021,BBM:F000022,similar,06
BBM,BBM:F000024,BBM:F000025,similar,06
BBM,BBM:F000024,BBM:F000026,similar,06
BBM,BBM:F000025,BBM:F000026,similar,06
BBM,BBM:F000460,BBM:F000461,similar,06
BBM,BBM:F000469,BBM:F000470,similar,06
BBM,BBM:F000469,BBM:F000471,similar,06
BBM,BBM:F000469,BBM:F000474,similar,06
BBM,BBM:F000469,BBM:F000475,similar,06
BBM,BBM:F000469,BBM:F000476,similar,06
BBM,BBM:F000469,BBM:F000477,similar,06
BBM,BBM:F000469,BBM:F000479,similar,06
BBM,BBM:F000469,BBM:F000480,similar,06
BBM,BBM:F000469,BBM:F000482,similar,06
BBM,BBM:F000470,BBM:F000471,similar,06
BBM,BBM:F000470,BBM:F000474,similar,06
BBM,BBM:F000470,BBM:F000475,similar,06
BBM,BBM:F000470,BBM:F000476,similar,06
BBM,BBM:F000470,BBM:F000477,similar,06
BBM,BBM:F000470,BBM:F000479,similar,06
BBM,BBM:F000470,BBM:F000480,similar,06
BBM,BBM:F000470,BBM:F000482,similar,06
BBM,BBM:F000471,BBM:F000474,similar,06
BBM,BBM:F000471,BBM:F000475,similar,06
BBM,BBM:F000471,BBM:F000476,similar,06
BBM,BBM:F000471,BBM:F000477,similar,06
BBM,BBM:F000471,BBM:F000479,similar,06
BBM,BBM:F000471,BBM:F000480,similar,06
BBM,BBM:F000471,BBM:F000482,similar,06
BBM,BBM:F000474,BBM:F000475,similar,06
BBM,BBM:F000474,BBM:F000476,similar,06
BBM,BBM:F000474,BBM:F000477,similar,06
BBM,BBM:F000474,BBM:F000479,similar,06
BBM,BBM:F000474,BBM:F000480,similar,06
BBM,BBM:F000474,BBM:F000482,similar,06
BBM,BBM:F000475,BBM:F000476,similar,06
BBM,BBM:F000475,BBM:F000477,similar,06
BBM,BBM:F000475,BBM:F000479,similar,06
BBM,BBM:F000475,BBM:F000480,similar,06
BBM,BBM:F000475,BBM:F000482,similar,06
BBM,BBM:F000476,BBM:F000477,similar,06
BBM,BBM:F000476,BBM:F000479,similar,06
BBM,BBM:F000476,BBM:F000480,similar,06
BBM,BBM:F000476,BBM:F000482,similar,06
BBM,BBM:F000477,BBM:F000479,similar,06
BBM,BBM:F000477,BBM:F000480,similar,06
BBM,BBM:F000477,BBM:F000482,similar,06
BBM,BBM:F000479,BBM:F000480,similar,06
BBM,BBM:F000479,BBM:F000482,similar,06
BBM,BBM:F000480,BBM:F000482,similar,06
BBM,BBM:F000472,BBM:F000478,similar,06
mo,MO:87050,MO:88596,strict,06
mo,MO:238405,MO:264931,similar,06
mo,MO:185352,MO:285079,similar,06
mo,MO:385287,MO:430979,similar,06
mo,MO:261317,MO:262397,similar,06
mo,MO:261317,MO:262707,similar,06
mo,MO:262397,MO:262707,similar,06
mo,MO:261556,MO:263310,similar,06
mo,MO:387882,MO:387891,strict,06
mo,MO:387882,MO:387970,strict,06
mo,MO:387882,MO:387973,strict,06
mo,MO:387882,MO:387982,strict,06
mo,MO:387891,MO:387970,strict,06
mo,MO:387891,MO:387973,strict,06
mo,MO:387891,MO:387982,strict,06
mo,MO:387970,MO:387973,strict,06
mo,MO:387970,MO:387982,strict,06
mo,MO:387973,MO:387982,strict,06
mo,MO:244554,MO:260890,similar,06
mo,MO:234913,MO:244282,similar,06
mo,MO:302590,MO:315634,similar,06
BBM,BBM:F000038,BBM:F000039,similar,06
mo,MO:123183,MO:123184,similar,06
mo,MO:123183,MO:123185,similar,06
mo,MO:123183,MO:519747,similar,06
mo,MO:123184,MO:123185,similar,06
mo,MO:123184,MO:519747,similar,06
mo,MO:123185,MO:519747,similar,06
mo,MO:319030,MO:333047,similar,06
mo,MO:130189,MO:160580,similar,06
mo,MO:364631,MO:367689,strict,06
mo,MO:65871,MO:159221,similar,06
mo,MO:65871,MO:193942,similar,06
mo,MO:65871,MO:264302,similar,06
mo,MO:65871,MO:311615,similar,06
mo,MO:65871,MO:364630,similar,06
mo,MO:159221,MO:193942,similar,06
mo,MO:159221,MO:264302,similar,06
mo,MO:159221,MO:311615,similar,06
mo,MO:159221,MO:364630,similar,06
