bbm,platform_record,match_type,quadrant,confidence,justification,breakdown
BBM:F000819,MO:75926,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000819,MO:93446,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000819,MO:151312,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000877,MO:72852,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000877,MO:379220,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000877,MO:444793,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000017,MO:66877,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000017,MO:130631,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000017,MO:271190,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000018,MO:66877,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000018,MO:130631,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000018,MO:271190,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000019,MO:66877,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000019,MO:130631,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000019,MO:271190,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000462,MO:66877,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000462,MO:130631,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000462,MO:271190,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000469,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000470,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000471,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000474,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000475,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000476,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000477,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000479,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000480,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000482,MO:375037,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001397,MO:385287,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001397,MO:430979,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:65871,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:159221,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:193942,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:264302,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:311615,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000812,MO:364630,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000139,MO:165089,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000139,MO:300996,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000318,MO:248198,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000318,MO:248890,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000321,MO:248198,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000321,MO:248890,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000329,MO:261394,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000329,MO:262315,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000429,MO:234108,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000450,MO:234108,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000815,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000816,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000817,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000818,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000852,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000853,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000854,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000855,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000856,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000857,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000880,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000881,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000882,MO:72853,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000827,MO:169527,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000455,MO:162647,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000508,MO:198378,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000509,MO:198378,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001457,MO:295105,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,05"
BBM:F001457,MO:380995,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,05"
BBM:F000574,MO:72874,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001506,MO:86599,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001506,MO:302973,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000996,MO:265139,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000996,MO:351364,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000599,MO:265212,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001385,MO:325265,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001385,MO:375877,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001385,MO:429703,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001387,MO:334497,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001394,MO:259702,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,05"
BBM:F001001,MO:260684,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001001,MO:303564,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001001,MO:388074,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001001,MO:399061,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001001,MO:457179,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001525,MO:260684,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001525,MO:303564,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001525,MO:388074,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001525,MO:399061,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001525,MO:457179,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:65467,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:66872,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:75886,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:149736,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:305520,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:306906,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:411783,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:441844,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000591,MO:457138,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:65467,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:66872,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:75886,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:149736,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:305520,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:306906,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:411783,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:441844,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000598,MO:457138,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000597,MO:97370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000597,MO:258711,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001537,MO:334487,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001537,MO:384979,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F001537,MO:391571,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000747,MO:72888,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000747,MO:159110,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000748,MO:72888,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000748,MO:159110,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000749,MO:65011,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000750,MO:65011,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000751,MO:65011,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000627,MO:273963,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000627,MO:396788,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:72826,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:75933,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:260687,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:264983,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:274379,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:303598,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:367839,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:399952,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:444796,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:448460,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000859,MO:449339,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000720,MO:181828,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000721,MO:181828,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000726,MO:234907,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000719,MO:65425,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000719,MO:156370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000719,MO:278964,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000719,MO:315949,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000876,MO:65425,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000876,MO:156370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000876,MO:278964,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000876,MO:315949,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000879,MO:65425,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000879,MO:156370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000879,MO:278964,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000879,MO:315949,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000884,MO:65425,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000884,MO:156370,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000884,MO:278964,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000884,MO:315949,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:78034,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000737,MO:95075,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:116384,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:182165,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:295748,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:306469,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:352685,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:388064,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:401777,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:425587,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000737,MO:447279,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:78034,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000740,MO:95075,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:116384,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:182165,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:295748,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:306469,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:352685,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:388064,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:401777,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:425587,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000740,MO:447279,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:78034,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000741,MO:95075,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:116384,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:182165,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:295748,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:306469,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:352685,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:388064,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:401777,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:425587,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000741,MO:447279,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:78034,similar,absent,2.5,similar name + date/locality; no cross-reference or image,"01,02"
BBM:F000742,MO:95075,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:116384,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:182165,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:295748,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:306469,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:352685,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:388064,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:401777,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
BBM:F000742,MO:425587,similar,absent,2.5,similar name + date/locality; no cross-reference or image,01
