mo_id,ubc_F,genbank,action_scope,requested_action,status,current_evidence,breakdown
202702,F19470,HQ604807,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19470 does not contain MO ref 202702,07
202702,F19470,HQ604807,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19470 missing accession(s) HQ604807,07
202702,F19470,HQ604807,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
191206,F19454,HQ604426,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19454 does not contain MO ref 191206,07
191206,F19454,HQ604426,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19454 missing accession(s) HQ604426,07
191206,F19454,HQ604426,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
159260,F25054,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25054 does not contain MO ref 159260,07
74905,F19659,HQ604329,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19659 does not contain MO ref 74905,07
74905,F19659,HQ604329,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19659 missing accession(s) HQ604329,07
74905,F19659,HQ604329,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
72828,F19499,HQ604539,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19499 does not contain MO ref 72828,07
72828,F19499,HQ604539,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19499 missing accession(s) HQ604539,07
72828,F19499,HQ604539,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
66965,F19493,HQ604534,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19493 does not contain MO ref 66965,07
66965,F19493,HQ604534,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19493 missing accession(s) HQ604534,07
66965,F19493,HQ604534,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
66321,F19368,HQ604122,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19368 does not contain MO ref 66321,07
66321,F19368,HQ604122,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19368 missing accession(s) HQ604122,07
66321,F19368,HQ604122,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
66305,F19258,HQ604338,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19258 does not contain MO ref 66305,07
66305,F19258,HQ604338,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19258 missing accession(s) HQ604338,07
66305,F19258,HQ604338,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
66304,F19352,–,UBC/BBM,Add MO #,still_unimplemented,BBM F19352 does not contain MO ref 66304,07
166513,F19584,HQ604715,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19584 does not contain MO ref 166513,07
166513,F19584,HQ604715,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19584 missing accession(s) HQ604715,07
166513,F19584,HQ604715,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
64022,F19355,HQ604092,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19355 does not contain MO ref 64022,07
64022,F19355,HQ604092,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19355 missing accession(s) HQ604092,07
64022,F19355,HQ604092,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
218853,F17260,GQ159846,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F17260 does not contain MO ref 218853,07
218853,F17260,GQ159846,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F17260 missing accession(s) GQ159846,07
218853,F17260,GQ159846,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
210193,F19553,HQ604480,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19553 does not contain MO ref 210193,07
210193,F19553,HQ604480,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19553 missing accession(s) HQ604480,07
210193,F19553,HQ604480,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
162109,F19618,HQ604654,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19618 does not contain MO ref 162109,07
162109,F19618,HQ604654,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19618 missing accession(s) HQ604654,07
162109,F19618,HQ604654,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
209961,F19266,HQ604578,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19266 does not contain MO ref 209961,07
209961,F19266,HQ604578,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19266 missing accession(s) HQ604578,07
209961,F19266,HQ604578,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
202610,F19645,HQ604553,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19645 does not contain MO ref 202610,07
202610,F19645,HQ604553,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19645 missing accession(s) HQ604553,07
202610,F19645,HQ604553,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
191211,F19450,HQ604185,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19450 does not contain MO ref 191211,07
191211,F19450,HQ604185,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19450 missing accession(s) HQ604185,07
191211,F19450,HQ604185,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
74819,F16364,FJ039585,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16364 does not contain MO ref 74819,07
74819,F16364,FJ039585,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16364 missing accession(s) FJ039585,07
74819,F16364,FJ039585,GenBank,"Add MO #, add F#",still_unimplemented,FJ039585: missing_F,07
74819,F16364,FJ039585,GenBank,"Add MO #, add F#",cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
167151,F19611,HQ604341,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19611 does not contain MO ref 167151,07
167151,F19611,HQ604341,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19611 missing accession(s) HQ604341,07
167151,F19611,HQ604341,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
166830,F19599,–,UBC/BBM,Add MO #,still_unimplemented,BBM F19599 does not contain MO ref 166830,07
166825,F19593,HQ604737,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19593 does not contain MO ref 166825,07
166825,F19593,HQ604737,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19593 missing accession(s) HQ604737,07
166825,F19593,HQ604737,Mushroom Observer,Add GB,cannot_assess_current_extract,Current mo_records.csv keeps UBC refs but not GenBank refs/comments needed for this action,07
166825,F19593,HQ604737,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
166543,F19544,HQ604139,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19544 does not contain MO ref 166543,07
166543,F19544,HQ604139,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19544 missing accession(s) HQ604139,07
166543,F19544,HQ604139,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
157035,F19274,HQ604117,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19274 does not contain MO ref 157035,07
157035,F19274,HQ604117,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19274 missing accession(s) HQ604117,07
157035,F19274,HQ604117,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
156780,F19255,HQ604211,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19255 does not contain MO ref 156780,07
156780,F19255,HQ604211,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19255 missing accession(s) HQ604211,07
156780,F19255,HQ604211,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
156778,F19257,HQ604179,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19257 does not contain MO ref 156778,07
156778,F19257,HQ604179,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19257 missing accession(s) HQ604179,07
156778,F19257,HQ604179,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
156777,F19256,HQ604582,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19256 does not contain MO ref 156777,07
156777,F19256,HQ604582,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19256 missing accession(s) HQ604582,07
156777,F19256,HQ604582,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
156771,F19259,HQ604552,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19259 does not contain MO ref 156771,07
156771,F19259,HQ604552,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19259 missing accession(s) HQ604552,07
156771,F19259,HQ604552,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
85244,F27331,,UBC/BBM,Change to MO # 85244,still_unimplemented,BBM F27331 does not contain requested MO ref 85244,"02,07"
132649,F16319,FJ039540,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16319 does not contain MO ref 132649,07
132649,F16319,FJ039540,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F16319 missing accession(s) FJ039540,07
132649,F16319,FJ039540,GenBank,"Add MO #, add F#",still_unimplemented,FJ039540: missing_F,07
132649,F16319,FJ039540,GenBank,"Add MO #, add F#",cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
166061,F29822,,Mushroom Observer,Correct to F29822,still_unimplemented,MO 166061 does not cite F29822,07
75671,F19354,HQ604453,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19354 does not contain MO ref 75671,07
75671,F19354,HQ604453,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19354 missing accession(s) HQ604453,07
75671,F19354,HQ604453,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
74998,F19660,HQ604400,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19660 does not contain MO ref 74998,07
74998,F19660,HQ604400,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19660 missing accession(s) HQ604400,07
74998,F19660,HQ604400,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
74901,F19655,HQ604510,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19655 does not contain MO ref 74901,07
74901,F19655,HQ604510,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19655 missing accession(s) HQ604510,07
74901,F19655,HQ604510,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
73020,F19465,HQ604635,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19465 does not contain MO ref 73020,07
73020,F19465,HQ604635,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19465 missing accession(s) HQ604635,07
73020,F19465,HQ604635,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
72897,F19521,HQ604787,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19521 does not contain MO ref 72897,07
72897,F19521,HQ604787,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19521 missing accession(s) HQ604787,07
72897,F19521,HQ604787,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
72889,F19522,HQ604398,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19522 does not contain MO ref 72889,07
72889,F19522,HQ604398,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19522 missing accession(s) HQ604398,07
72889,F19522,HQ604398,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
72857,F19492,–,UBC/BBM,Add MO #,still_unimplemented,BBM F19492 does not contain MO ref 72857,07
71652,F19441,HQ604396,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19441 does not contain MO ref 71652,07
71652,F19441,HQ604396,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19441 missing accession(s) HQ604396,07
71652,F19441,HQ604396,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
146033,F33821,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F33821 does not contain MO ref 146033,07
146033,F33821,,Mushroom Observer,Correct to F33821,changed_elsewhere,"MO 146033 cites F26070, not F33821","02,07"
148518,F26145,NR_199755.1,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F26145 does not contain MO ref 148518,07
148518,F26145,NR_199755.1,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F26145 missing accession(s) NR_199755,07
148518,F26145,NR_199755.1,Mushroom Observer,Correct to NR_199755.1,cannot_assess_current_extract,Current mo_records.csv keeps UBC refs but not GenBank refs/comments needed for this action,07
330089,F19540,HQ604296,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19540 does not contain MO ref 330089,07
