accession,ubc_F,mo_id,f_in_bbm,ubc_cites_accession,genbank_fetched,voucher_cites_F,breakdown
HQ604349,F19114,211765,True,False,True,True,01
HQ604227,F19358,75096,True,False,True,True,01
HQ604483,F19202,210415,True,False,True,True,01
HQ604484,F19221,210247,True,False,True,True,01
HQ604807,F19470,202702,True,False,True,True,01
HQ604426,F19454,191206,True,False,True,True,01
HQ604444,F19321,157560,True,False,True,False,01
HQ604596,F19317,157533,True,False,True,True,01
HQ604373,F19301,157365,True,False,True,True,01
HQ604805,F19294,157334,True,False,True,True,01
GQ159869,F17126,132645,True,False,True,True,01
HQ604471,F19631,131752,True,False,True,True,01
GQ159786,F17197,97460,True,False,True,True,01
HQ604329,F19659,74905,True,False,True,True,01
HQ604539,F19499,72828,True,False,True,True,01
GQ159841,F17255,65087,True,False,True,True,01
HQ604534,F19493,66965,True,False,True,True,01
HQ604250,F19297,66959,True,False,True,True,01
HQ604122,F19368,66321,True,False,True,True,01
HQ604338,F19258,66305,True,False,True,True,01
HQ604723,F19621,66116,True,False,True,True,01
FJ039584,F16363,167609,True,False,True,False,01
HQ604521,F19656,64914,True,False,True,True,01
HQ604715,F19584,166513,True,False,True,True,01
HQ604092,F19355,64022,True,False,True,True,01
GQ159846,F17260,218853,True,False,True,True,01
GQ159884,F17141,215759,True,False,True,False,01
HQ604330,F19111,211763,True,False,True,True,01
HQ604460,F19094,211745,True,False,True,True,01
HQ604083,F18992,211743,True,False,True,True,01
HQ604477,F18954,210516,True,False,True,True,01
HQ604481,F18984,210512,True,False,True,True,01
HQ604478,F19107,210509,True,False,True,True,01
HQ604485,F18974,210467,True,False,True,True,01
HQ604488,F19030,210458,True,False,True,True,01
HQ604489,F19043,210452,True,False,True,True,01
HQ604482,F19182,210419,True,False,True,True,01
HQ604589,F19060,210361,True,False,True,True,01
HQ604479,F19079,210355,True,False,True,True,01
HQ604480,F19553,210193,True,False,True,True,01
HQ604654,F19618,162109,True,False,True,True,01
HQ604578,F19266,209961,True,False,True,True,01
HQ604553,F19645,202610,True,False,True,True,01
HQ604384,F19232,198385,True,False,True,True,01
GQ159798,F17209,198376,True,False,True,True,01
HQ604652,F19215,156421,True,False,True,True,01
GQ159836,F17250,156418,True,False,True,True,01
GQ159834,F17248,156401,True,False,True,True,01
HQ604433,F19214,195910,True,False,True,True,01
HQ604256,F19304,195478,True,False,True,True,01
GQ159892,F17149,192983,True,False,True,True,01
GQ159832,F17246,156380,True,False,True,True,01
HQ604185,F19450,191211,True,False,True,True,01
FJ157039,F15889,107411,True,False,True,False,01
FJ039585,F16364,74819,True,False,True,False,01
HQ604437,F19402,174386,True,False,True,True,01
HQ604599,F19397,174321,True,False,True,True,01
HQ604291,F19383,173831,True,False,True,True,01
HQ604476,F19382,173822,True,False,True,True,01
HQ604505,F19385,173820,True,False,True,True,01
HQ604528,F19378,173754,True,False,True,True,01
HQ604473,F19377,173690,True,False,True,True,01
GQ159828,F17242,173254,True,False,True,True,01
HQ604786,F19439,171758,True,False,True,True,01
HQ604369,F19437,171755,True,False,True,True,01
HQ604215,F19436,171614,True,False,True,True,01
GQ159815,F17227,171564,True,False,True,True,01
FJ039539,F16318,72869,True,False,True,False,01
HQ604341,F19611,167151,True,False,True,True,01
HQ604737,F19593,166825,True,False,True,True,01
HQ604139,F19544,166543,True,False,True,True,01
FJ039597,F16376,72850,True,False,True,False,01
HQ604234,F19176,164104,True,False,True,True,01
HQ604403,F19623,163818,True,False,True,True,01
HQ604682,F19524,242846,True,False,True,True,01
HQ604375,F19344,157845,True,False,True,True,01
HQ604378,F19346,157844,True,False,True,True,01
HQ604777,F19329,157828,True,False,True,True,01
HQ604848,F19981,196108,True,False,True,True,01
GQ159852,F17266,72690,True,False,True,True,01
HQ604428,F19326,157814,True,False,True,True,01
HQ604434,F19325,157813,True,False,True,True,01
HQ604233,F19323,157811,True,False,True,True,01
HQ604397,F19322,157562,True,False,True,True,01
HQ604809,F19327,157552,True,False,True,True,01
HQ604255,F19316,157463,True,False,True,True,01
HQ604239,F19315,157462,True,False,True,True,01
HQ604307,F19312,157460,True,False,True,True,01
HQ604404,F19303,157406,True,False,True,True,01
HQ604392,F19058,157387,True,False,True,True,01
HQ604253,F19299,157366,True,False,True,True,01
HQ604472,F19295,157333,True,False,True,True,01
HQ604467,F19290,157332,True,False,True,True,01
HQ604238,F19293,157328,True,False,True,True,01
HQ604243,F19287,157308,True,False,True,True,01
HQ604509,F19288,157309,True,False,True,True,01
GQ159806,F17217,157226,True,False,True,True,01
HQ604214,F19281,157225,True,False,True,True,01
GQ159804,F17215,197223,True,False,True,True,01
HQ604117,F19274,157035,True,False,True,True,01
GQ159822,F17235,157026,True,False,True,True,01
HQ604580,F19271,157008,True,False,True,True,01
GQ159845,F17259,156907,True,False,True,True,01
FJ039679,F16458,156906,True,False,True,False,01
HQ604356,F19272,156850,True,False,True,True,01
HQ604535,F19270,156849,True,False,True,True,01
GQ159819,F17231,156843,True,False,True,True,01
GQ159817,F17229,156828,True,False,True,True,01
HQ604211,F19255,156780,True,False,True,True,01
HQ604179,F19257,156778,True,False,True,True,01
HQ604582,F19256,156777,True,False,True,True,01
GQ159768,F17178,156475,True,False,True,True,01
HQ604552,F19259,156771,True,False,True,True,01
HQ604098,F19246,156695,True,False,True,True,01
HQ604263,F19238,156683,True,False,True,True,01
HQ604093,F19235,156637,True,False,True,True,01
HQ604628,F19226,156504,True,False,True,True,01
HQ604639,F19223,156502,True,False,True,True,01
GQ159867,F17124,156165,True,False,True,True,01
GQ159803,F17214,156158,True,False,True,True,01
GQ159788,F17199,84614,True,False,True,True,01
GQ159825,F17238,76315,True,False,True,True,01
GQ159799,F17210,156383,True,False,True,True,01
GQ159856,F17113,156150,True,False,True,True,01
GQ159864,F17121,156145,True,False,True,True,01
GQ159794,F17205,156139,True,False,True,True,01
FJ039540,F16319,132649,True,False,True,False,01
HQ604722,F19620,132511,True,False,True,True,01
HQ604257,F19633,131754,True,False,True,True,01
HQ604463,F19627,131740,True,False,True,True,01
HQ604290,F19279,117800,True,False,True,True,01
HQ604288,F19157,117798,True,False,True,True,01
GQ159805,F17216,97542,True,False,True,True,01
HQ604819,F19130,97367,True,False,True,True,01
GQ159771,F17181,93581,True,False,True,True,01
