platform,record_a,record_b,match_type,breakdown
BBM,BBM:F002025,BBM:F002026,similar,06
BBM,BBM:F002042,BBM:F002045,strict,06
BBM,BBM:F002058,BBM:F002059,similar,06
BBM,BBM:F002069,BBM:F002072,similar,06
BBM,BBM:F002076,BBM:F002078,similar,06
BBM,BBM:F002084,BBM:F002088,similar,06
BBM,BBM:F012426,BBM:F012429,similar,06
BBM,BBM:F012426,BBM:F012430,similar,06
BBM,BBM:F012426,BBM:F013243,similar,06
BBM,BBM:F012429,BBM:F012430,similar,06
BBM,BBM:F012429,BBM:F013243,similar,06
BBM,BBM:F012430,BBM:F013243,similar,06
BBM,BBM:F000003,BBM:F021720,similar,06
BBM,BBM:F000003,BBM:F021791,similar,06
BBM,BBM:F021720,BBM:F021791,similar,06
BBM,BBM:F004663,BBM:F004664,strict,06
BBM,BBM:F004663,BBM:F004665,strict,06
BBM,BBM:F004664,BBM:F004665,strict,06
BBM,BBM:F004668,BBM:F010049,similar,06
BBM,BBM:F004671,BBM:F004673,strict,06
BBM,BBM:F004678,BBM:F004679,strict,06
BBM,BBM:F004682,BBM:F004683,strict,06
BBM,BBM:F004684,BBM:F004685,strict,06
BBM,BBM:F004689,BBM:F004692,similar,06
BBM,BBM:F004690,BBM:F004691,strict,06
BBM,BBM:F010019,BBM:F010020,strict,06
BBM,BBM:F010019,BBM:F010021,strict,06
BBM,BBM:F010019,BBM:F010022,strict,06
BBM,BBM:F010020,BBM:F010021,strict,06
BBM,BBM:F010020,BBM:F010022,strict,06
BBM,BBM:F010021,BBM:F010022,strict,06
BBM,BBM:F013449,BBM:F013450,strict,06
BBM,BBM:F013449,BBM:F013451,strict,06
BBM,BBM:F013449,BBM:F013452,strict,06
BBM,BBM:F013450,BBM:F013451,strict,06
BBM,BBM:F013450,BBM:F013452,strict,06
BBM,BBM:F013451,BBM:F013452,strict,06
BBM,BBM:F013473,BBM:F013474,strict,06
BBM,BBM:F013862,BBM:F013863,similar,06
BBM,BBM:F013862,BBM:F028551,similar,06
BBM,BBM:F013863,BBM:F028551,similar,06
BBM,BBM:F016920,BBM:F021255,similar,06
BBM,BBM:F018363,BBM:F021817,similar,06
BBM,BBM:F021403,BBM:F021459,strict,06
BBM,BBM:F032937,BBM:F032990,strict,06
BBM,BBM:F005850,BBM:F005855,similar,06
