muob_id,our_catalogs,mo_exists,mo_cites_us_back,classification,mo_url,mo_consensus_name
66139,F023000; F23000,True,False,unidirectional_bbm_to_mo,https://mushroomobserver.org/66139,Russula densifolia
69671,F023058; F23058,True,True,bidirectional,https://mushroomobserver.org/69671,Russula cremoricolor
71507,F023007; F23007,True,True,bidirectional,https://mushroomobserver.org/71507,Russula raoultii
82705,F023033; F023090; F23033; F23090,True,True,bidirectional,https://mushroomobserver.org/82705,Russula abietina
82752,F022976; F22976,True,True,bidirectional,https://mushroomobserver.org/82752,Russula fragrantissima group
82916,F023062; F23062,True,True,bidirectional,https://mushroomobserver.org/82916,Russula brunneoviolacea
83025,F022978; F22978,True,False,unidirectional_bbm_to_mo,https://mushroomobserver.org/83025,Russula mordax
83026,F022977; F22977,True,True,bidirectional,https://mushroomobserver.org/83026,Russula queletii
83437,F023037; F23037,True,True,bidirectional,https://mushroomobserver.org/83437,Russula murrillii
85109,F023010; F23010,True,True,bidirectional,https://mushroomobserver.org/85109,Russula stuntzii
85301,F023008; F23008,True,True,bidirectional,https://mushroomobserver.org/85301,Russula cremoricolor
85885,F023009; F23009,True,True,bidirectional,https://mushroomobserver.org/85885,Russula
105533,F023051; F23051,True,True,bidirectional,https://mushroomobserver.org/105533,Russula mustelina group
105534,F023045; F23045,True,True,bidirectional,https://mushroomobserver.org/105534,Russula aureofulva
105787,F023030; F23030,True,True,bidirectional,https://mushroomobserver.org/105787,Russula albida
106001,F023038; F23038,True,True,bidirectional,https://mushroomobserver.org/106001,Russula murrillii
106017,F023100; F23100,True,True,bidirectional,https://mushroomobserver.org/106017,Russula placita
106018,F022979; F22979,True,True,bidirectional,https://mushroomobserver.org/106018,Russula ochroleuca
106028,F023036; F23036,True,True,bidirectional,https://mushroomobserver.org/106028,Russula velenovskyi
