bbm,platform_record,match_type,quadrant,confidence,justification,breakdown,review_required,accepted,llm_reason,guardrail,synonym_match,synonym_evidence,candidate_group_size,candidate_group_ids,bbm_sci_name,bbm_genus,bbm_species,bbm_collector,bbm_date,bbm_locality,platform_sci_name,platform_genus,platform_species,platform_collector,platform_date,platform_locality
BBM:F026082,MO:151312,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F026082; MO:151312,calocera cornea,calocera,cornea,,2013-10-01,"victoria, saanich peninsula, observatory hill; ridge behind the small dome",calocera cornea,calocera,cornea,oluna & adolf ceska,2013-10-01,"observatory hill, victoria, british columbia, canada"
BBM:F026440,MO:72852,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F026440; MO:72852,calocera viscosa,calocera,viscosa,,2008-01-05,"victoria, saanich peninsula, observatory hill; mixed forest on e slope just below the hairpin curve",calocera viscosa,calocera,viscosa,oluna & adolf ceska,2008-01-05,"observatory hill, victoria, british columbia, canada"
BBM:F024364,MO:63465,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F024364; MO:63465,sebacina epigaea,sebacina,epigaea,,2010-04-18,"victoria, saanich peninsula, observatory hill; forest behind the small dome",sebacina epigaea,sebacina,epigaea,oluna & adolf ceska,2010-04-18,"observatory hill, victoria, british columbia, canada"
BBM:F025139,MO:77716,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025139; MO:77716,tremella obscura,tremella,obscura,,2011-07-17,"victoria, saanich peninsula, observatory hill; southern slope above the main gate on the left side of the road",tremella obscura,tremella,obscura,oluna & adolf ceska,2011-07-17,"observatory hill, victoria, british columbia, canada"
BBM:F025386,MO:87772,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025386; MO:87772,tremella moriformis,tremella,moriformis,,2012-01-23,"victoria, saanich peninsula, observatory hill; quercus garryana stand below the main parking lot in fron of the dao building",tremella moriformis,tremella,moriformis,oluna & adolf ceska,2012-01-23,"observatory hill, victoria, british columbia, canada"
BBM:F025394,MO:87050,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,3,BBM:F025394; MO:87050; MO:88596,tremella aurantia,tremella,aurantia,,2012-01-27,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",tremella aurantia,tremella,aurantia,oluna & adolf ceska,2012-01-27,"observatory hill, victoria, british columbia, canada"
BBM:F025394,MO:88596,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,3,BBM:F025394; MO:87050; MO:88596,tremella aurantia,tremella,aurantia,,2012-01-27,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",tremella aurantia,tremella,aurantia,oluna & adolf ceska,2012-01-27,"observatory hill, victoria, british columbia, canada"
BBM:F025895,MO:130631,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025895; MO:130631,tremella encephala,tremella,encephala,,2013-03-17,"victoria, saanich peninsula, observatory hill; path along the road between the admin buildings and the hairpin curve",tremella encephala,tremella,encephala,oluna & adolf ceska,2013-03-17,"observatory hill, victoria, british columbia, canada"
BBM:F025953,MO:160417,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025953; MO:160417,tremella aurantia,tremella,aurantia,,2013-05-20,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",tremella aurantia,tremella,aurantia,oluna & adolf ceska,2013-05-20,"observatory hill, victoria, british columbia, canada"
BBM:F026509,MO:64956,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,3,BBM:F026509; BBM:F029675; MO:64956,tremella mesenterica,tremella,mesenterica,,2008-02-11,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",tremella mesenterica,tremella,mesenterica,oluna & adolf ceska,2008-02-12,"observatory hill, victoria, british columbia, canada"
BBM:F029675,MO:64956,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,"01,05",False,True,,,False,,3,BBM:F026509; BBM:F029675; MO:64956,tremella mesenterella,tremella,mesenterella,,2008-02-09,"colwood, royal roads university, forest behind the tennis courts",tremella mesenterica,tremella,mesenterica,oluna & adolf ceska,2008-02-12,"observatory hill, victoria, british columbia, canada"
BBM:F031393,MO:66877,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F031393; MO:66877,tremella encephala,tremella,encephala,,2004-02-07,"colwood, royal roads university, forest behind the tennis courts",tremella encephala,tremella,encephala,oluna & adolf ceska,2004-02-07,"royal roads university, colwood, victoria, british columbia, canada"
BBM:F031801,MO:63563,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031801; MO:63563,tremella mesenterella,tremella,mesenterella,,2005-11-06,"victoria, saanich peninsula, observatory hill; sw slope above the main gate",tremella mesenterella,tremella,mesenterella,oluna & adolf ceska,2005-11-06,"observatory hill, victoria, british columbia, canada"
BBM:F031885,MO:65462,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F031885; MO:65462,tremella foliacea,tremella,foliacea,,2005-11-26,"victoria, saanich peninsula, observatory hill; mixed forest and sw open slope behind the smaller dome",tremella foliacea,tremella,foliacea,oluna & adolf ceska,2005-11-26,"observatory hill, victoria, british columbia, canada"
BBM:F027511,MO:105544,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F027511; MO:105544,collybia cirrhata,collybia,cirrhata,,2010-10-02,"jordan river, san juan ridge, kludakh trail, trail from wye lake to meadow cabin",collybia cirrhata,collybia,cirrhata,oluna & adolf ceska,2010-10-02,"san juan ridge, jordan river, vancouver island, british columbia, canada"
BBM:F031730,MO:195365,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F031730; MO:195365,collybia succinea,collybia,succinea,,2005-06-10,"victoria, highlands, bocking property, n end of hazlit creek road",collybia succinea,collybia,succinea,oluna & adolf ceska,2005-06-10,"bocking property, 405 hazlitt creek rd., highlands, vancouver island, british columbia, canada"
BBM:F024522,MO:64899,similar,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),"01,05",False,True,,,False,,2,BBM:F024522; MO:64899,lepiota clypelarioides,lepiota,clypelarioides,,2010-09-22,"victoria, saanich peninsula, observatory hill; below the paved road, below the hairpin curve, to the property line, with the patch of tsuga heterophylla",lepiota clypeolarioides,lepiota,clypeolarioides,oluna & adolf ceska,2010-09-22,"observatory hill, victoria, british columbia, canada"
