bbm,guid,status,breakdown
F000001,0481D41F-A826-2D42-AC3D-88702D0CCB67,present,
F000002,41646A90-16C5-8143-A4C2-CA0CB18EE19F,present,
F000003,B145542F-5F05-3F4B-8CE0-F0251ED2BF76,present,
F000004,EE353C2A-E959-7845-93F3-57019B0F6098,present,
F000005,63969251-5A01-2148-BC24-8B76C1B7F8C0,present,
F000006,C6BBD2D2-BB54-AB49-A6E1-9FC803E96788,present,
F000007,10498DC4-E6A0-1A47-9668-2744ADA8715F,present,
F000008,576598E7-CEBE-2646-9F08-7C3808C23AF2,present,
F000009,A69B3CB4-AC86-9A4C-9522-0944941AFE4C,present,
F000011,A94118CA-2F7A-7D44-BDD0-FEFE5C6F6D5E,present,
F000012,B6D936D2-9028-AC4B-B66B-21DE0E58CCC8,present,
F000013,34A38375-84BF-C342-B1CC-594F1F72783C,present,
F000014,C5912FD7-4615-664B-94A1-A98CE81C141F,present,
F000015,ACCC1720-9B28-AF4E-BB32-F5D56BD7D202,present,
F000016,953F4508-FF89-C142-AE70-F3730A3A4931,present,
F000017,557C1C96-5FAC-1540-A68F-1BC41874266B,present,
F000018,C36C5552-CDB9-BE41-B387-9AB51C7CDF0B,present,
F000019,A309342F-F2C2-2047-9E73-2116A3262E8C,present,
F000020,7F830CDF-3296-EF4E-9BAA-E11B19501506,present,
F000021,21F3B221-014C-FD43-9465-D2367E856765,present,
F000022,4698E4EC-3649-E044-94A9-421B81EAD752,present,
F000023,A3A30734-C06F-8B40-9443-C030D549FDED,present,
F000024,B1341DE7-A4BE-394A-BC18-6C2084910B66,present,
F000025,49D0F5EB-A4A2-3243-B3BE-7AEF7C206332,present,
F000026,E8A8B810-047F-7149-8A28-37CFACC28FC2,present,
F000027,86E8817E-0738-5541-9101-C35C05AB49AB,present,
F000028,11998681-F063-2840-AFFE-77FA1DBEED97,present,
F000029,7FA34993-C99B-4B45-8C3D-9BB1BB569D3B,present,
F000030,5AB00E12-A633-B742-BFE5-8739106842B7,present,
F000031,B700BB1D-6C86-5E40-B02D-0E6EC4B56E52,present,
F000032,FF94E772-D4D0-2D4A-BEC5-D07E0061B45B,present,
F000033,F4352072-F371-D041-9BC9-EB482FF17693,present,
F000034,FFA850BD-08A1-E447-8DBC-0F042F460335,present,
F000035,66EC9733-443F-3B4B-8E61-633CC1BA9780,present,
F000036,A28F06B3-5D66-1E4F-BF36-A9D14A7D06A0,present,
F000037,C08B777B-8869-6A4F-9E6C-E0B61DC16018,present,
F000038,4EA1196E-0200-3641-B791-E59A64945AE7,present,
F000039,7F9A447C-5296-6046-B5E3-8A6099908DD7,present,
F000040,D2F6C063-EA89-D64F-8EF8-2EF203652214,present,
F000041,4D0E8907-1D90-4A48-BF61-22FFA0727778,present,
F000042,F9A96E54-1A0D-1644-A7B5-B79E35F19411,present,
F000043,4EE7B1E9-7817-DB41-8141-8CC9D794C289,present,
F000044,77E12BF7-5222-6F42-B733-1DF8892DEF0B,present,
F000045,D00DC0C4-3A41-7549-84ED-4F28FA35C7C6,present,
F000046,8E31A166-9948-4745-B232-CC244DA2F5BA,present,
F000047,3AA95A0F-CB40-EA47-8A28-46B92333CF35,present,
F000048,15C533D1-25C8-1A45-8ACC-AC962864B456,present,
F000049,AAE80EBA-8C2F-C344-A462-107565B30B73,present,
F000050,A5216D2E-E2B0-7F4C-AB7D-082D34EFEC60,present,
F000051,3AACF321-1ABC-1244-968F-20D0EB5C137A,present,
F000052,C7829CFA-220E-6444-9A74-F613123ABA61,present,
F000053,C1E1F61A-1897-F24E-8A45-C7A2FC6FCB2E,present,
F000054,83D29A8C-3161-F944-9CF9-712D5C1A46E4,present,
F000055,2143AA49-963E-DF40-8CBF-BF9EF9042AE6,present,
F000056,03F9599E-A42D-134C-BFD0-58F8F640CCAE,present,
F000057,21C1140B-0482-7844-BA51-0F4156385546,present,
F000058,07910A5A-32B5-974D-9595-BAD8007D45BB,present,
F000059,ACC88F64-3320-EB46-8AAE-54E5D26D57DE,present,
F000060,5B6744AA-77A1-D843-99E5-9F8F46006AC9,present,
F000061,4CAFDDDA-F4FB-A145-8091-B8C5B304259C,present,
F000062,3D48EFAC-2AC6-C044-96A5-25EA139AF4E8,present,
F000063,8BF94727-C129-654F-A8B5-CC24719DFA57,present,
F000064,29AF1E08-FA9A-6846-A6D3-180F2E1950BB,present,
F000065,02A32CA8-94C8-9E49-8391-6ADC234922F7,present,
F000066,41A96636-0473-4940-8CB1-F0D60341223D,present,
F000067,F5EAD389-1F43-2045-8CEA-34EE0799E342,present,
F000068,B75FB994-EC26-C743-9564-B8FD80F3E76A,present,
F000069,71B97F61-8E04-4C41-996B-65E431A0BBFF,present,
F000070,D87D5333-53D9-9146-BA23-2D2E5E494C29,present,
F000071,77C70E84-80CB-4A4B-8ECA-B1CB12AD8302,present,
F000072,524744C6-8A3F-4D40-9329-593FE431A3DB,present,
F000073,9C4B45D9-09F0-524D-A0F2-F83C43A7FB8B,present,
F000074,DCB7E7AC-DA75-8246-9FCE-8E4C5BFB962A,present,
F000075,2B6FEAEB-72C2-DE4A-A4C3-283B1DF801AE,present,
F000076,D4D290D7-2EA6-A341-8950-7C93FA7E8F4F,present,
F000077,E902DF5B-0EA8-F040-B5B4-EC224376727C,present,
F000078,7ABF6962-2486-F24E-A225-167218117DFF,present,
F000079,6F2FB005-54E1-7241-B2A1-B7E8C280863D,present,
F000080,70923277-5F37-B44E-A257-D48064DE9771,present,
F000081,09E63CFE-5F09-D842-BA61-E82516D64191,present,
F000082,3E3F7003-98A5-2D43-8ADF-55782B5DBFF9,present,
F000083,3CCE66A3-1A80-BB41-81C8-527C7B6FAA7C,present,
F000084,EEE9A149-F04C-D846-B1D9-D2D4B7EE8470,present,
